Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
396,Ramesh Chander Kaushik,SONIPAT,BJP,0,Graduate Professional,"Rs 23,58,59,266 ~ 23 Crore+",Rs 0 ~
397,Ramesh Chandra Majhi,NABARANGPUR,BJD,0,Graduate,"Rs 81,00,600 ~ 81 Lacs+","Rs 7,71,000 ~ 7 Lacs+"
398,Ramesh Pokhriyal Nishank,HARIDWAR,BJP,0,Doctorate,"Rs 2,87,39,888 ~ 2 Crore+","Rs 16,444 ~ 16 Thou+"
399,Rameshbhai Dhaduk,PORBANDAR,BJP,0,10th Pass,"Rs 35,75,64,783 ~ 35 Crore+","Rs 21,79,44,697 ~ 21 Crore+"
400,Rameswar Teli,DIBRUGARH,BJP,0,10th Pass,"Rs 43,70,067 ~ 43 Lacs+",Rs 0 ~
401,Rammohannaidu Kinjarapu,SRIKAKULAM,TDP,1,Post Graduate,"Rs 12,27,91,042 ~ 12 Crore+","Rs 1,20,00,000 ~ 1 Crore+"
402,Ramprit Mandal,JHANJHARPUR,JD(U),1,10th Pass,"Rs 8,81,19,686 ~ 8 Crore+","Rs 10,00,000 ~ 10 Lacs+"
403,Ramya Haridas,ALATHUR,INC,3,10th Pass,"Rs 11,52,816 ~ 11 Lacs+",Rs 0 ~
404,Ranjanben Bhatt,VADODARA,BJP,0,12th Pass,"Rs 2,94,26,428 ~ 2 Crore+",Rs 0 ~
405,Ranjeeta Kumari,BHARATPUR,BJP,0,8th Pass,"Rs 31,17,190 ~ 31 Lacs+",Rs 0 ~
406,Ranjeetsinha Hindurao Naik Nimbalkar,MADHA,BJP,2,12th Pass,"Rs 1,27,51,60,578 ~ 127 Crore+","Rs 89,63,15,287 ~ 89 Crore+"
407,Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,"Rs 42,09,70,754 ~ 42 Crore+","Rs 3,15,00,000 ~ 3 Crore+"
408,Rao Uday Pratap Singh,HOSHANGABAD,BJP,1,Graduate,"Rs 15,47,83,105 ~ 15 Crore+","Rs 91,03,300 ~ 91 Lacs+"
409,Ratansinh Rathod,PANCHMAHAL,BJP,0,Graduate Professional,"Rs 1,02,60,663 ~ 1 Crore+","Rs 10,81,611 ~ 10 Lacs+"
410,Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,"Rs 2,39,97,443 ~ 2 Crore+",Rs 0 ~
411,Rathva Gitaben Vajesingbhai,CHHOTA UDAIPUR,BJP,0,12th Pass,"Rs 86,34,660 ~ 86 Lacs+",Rs 0 ~
412,Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,"Rs 5,43,61,499 ~ 5 Crore+","Rs 1,88,861 ~ 1 Lacs+"
413,Ravi Shankar Prasad,PATNA SAHIB,BJP,0,Post Graduate,"Rs 23,52,75,591 ~ 23 Crore+",Rs 0 ~
414,Ravikumar D,VILUPPURAM,DMK,0,Doctorate,"Rs 65,09,860 ~ 65 Lacs+","Rs 13,69,031 ~ 13 Lacs+"
415,Ravinder,SALEMPUR,BJP,0,12th Pass,"Rs 2,70,31,724 ~ 2 Crore+","Rs 2,49,400 ~ 2 Lacs+"
416,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,"Rs 20,84,94,688 ~ 20 Crore+","Rs 1,77,11,043 ~ 1 Crore+"
417,Ravneet Singh Bittu,LUDHIANA,INC,3,12th Pass,"Rs 5,42,81,096 ~ 5 Crore+","Rs 33,31,266 ~ 33 Lacs+"
418,Rebati Tripura,TRIPURA EAST,BJP,0,Post Graduate,"Rs 19,48,315 ~ 19 Lacs+",Rs 0 ~
419,Rekha Verma,DHAURAHRA,BJP,3,12th Pass,"Rs 2,47,35,488 ~ 2 Crore+","Rs 70,95,916 ~ 70 Lacs+"
420,Renuka Singh Saruta,SURGUJA,BJP,0,12th Pass,"Rs 2,76,82,493 ~ 2 Crore+","Rs 32,51,275 ~ 32 Lacs+"
421,Rita Bahuguna Joshi,ALLAHABAD,BJP,6,Doctorate,"Rs 2,69,19,330 ~ 2 Crore+","Rs 16,00,000 ~ 16 Lacs+"
422,Ritesh Pandey,AMBEDKAR NAGAR,BSP,1,Graduate,"Rs 30,72,65,103 ~ 30 Crore+","Rs 2,47,39,098 ~ 2 Crore+"
423,Riti Pathak,SIDHI,BJP,0,Post Graduate,"Rs 5,15,41,791 ~ 5 Crore+","Rs 5,05,922 ~ 5 Lacs+"
424,Rodmal Nagar,RAJGARH,BJP,0,Graduate,"Rs 4,01,98,295 ~ 4 Crore+","Rs 39,21,362 ~ 39 Lacs+"
